pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
108.725,-115.8625,180.0,top,C1,,,CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder,10uF,smt
100.72,-61.98,90.0,top,C10,,,C_0805_2012Metric,1000pF,smt
67.66,-68.16,-90.0,top,C11,,,C_0805_2012Metric,1000pF,smt
103.365,-69.4725,0.0,top,C12,,,C_0805_2012Metric,100nF,smt
64.995,-60.66,180.0,top,C13,,,C_0805_2012Metric,100nF,smt
94.805,-65.05,180.0,top,C14,,,CP_Elec_4x5.3,10uF,smt
73.61,-65.0075,0.0,top,C15,,,CP_Elec_4x5.3,10uF,smt
81.6875,-125.9125,180.0,top,C16,,,C_0805_2012Metric,22uF,smt
67.005529,-126.006531,180.0,top,C17,,,C_0805_2012Metric,22uF,smt
102.54,-78.72,180.0,top,C18,,,C_0805_2012Metric,100nF,smt
73.525,-78.71,180.0,top,C19,,,C_0805_2012Metric,100nF,smt
94.925,-73.765,180.0,top,C2,,,C_0805_2012Metric,470pF,smt
83.4175,-117.9125,180.0,top,C20,,,C_0805_2012Metric,22uF,smt
68.584,-117.851,180.0,top,C21,,,C_0805_2012Metric,22uF,smt
73.5,-83.17,180.0,top,C22,,,C_0805_2012Metric,100nF,smt
102.51,-83.2,180.0,top,C23,,,C_0805_2012Metric,100nF,smt
102.55,-73.515,0.0,top,C24,,,C_0805_2012Metric,100nF,smt
73.475,-73.4,0.0,top,C25,,,C_0805_2012Metric,100nF,smt
69.63,-68.16,-90.0,top,C26,,,C_0805_2012Metric,470pF,smt
98.76,-61.98,90.0,top,C27,,,C_0805_2012Metric,470pF,smt
73.77,-118.15,-90.0,top,C28,,,C_0805_2012Metric,22uF,smt
88.42,-118.1,-90.0,top,C29,,,C_0805_2012Metric,22uF,smt
94.925,-76.0,0.0,top,C3,,,C_0805_2012Metric,22nF,smt
66.025,-73.7,180.0,top,C4,,,C_0805_2012Metric,470pF,smt
66.025,-75.925,0.0,top,C5,,,C_0805_2012Metric,22nF,smt
94.925,-78.25,180.0,top,C6,,,C_0805_2012Metric,470pF,smt
94.925,-80.5,0.0,top,C7,,,C_0805_2012Metric,22nF,smt
66.025,-78.15,180.0,top,C8,,,C_0805_2012Metric,470pF,smt
66.025,-80.4,0.0,top,C9,,,C_0805_2012Metric,22nF,smt
108.73,-113.92,0.0,top,D1,,,SOD-123FL_diode,MBR120,smt
86.29,-118.6,-90.0,top,D2,,,SOD-123FL_diode,MBR120,smt
71.64,-118.65,-90.0,top,D3,,,SOD-123FL_diode,MBR120,smt
87.59,-123.3,90.0,top,L1,,,L_1008_2520Metric_Pad1.43x2.20mm_HandSolder,"4,7uH 1000mA",smt
72.865,-123.35,90.0,top,L2,,,L_1008_2520Metric_Pad1.43x2.20mm_HandSolder,"4,7uH 1000mA",smt
99.855,-65.9125,-90.0,top,Q1,,,SOT-23,MMBT2222A,smt
68.56,-64.145,90.0,top,Q2,,,SOT-23,MMBT2222A,smt
144.66,-111.765,90.0,top,R1,,,R_0805_2012Metric,10k,smt
80.7175,-118.8825,90.0,top,R10,,,R_0805_2012Metric,"7,5k",smt
65.409,-121.788,180.0,top,R11,,,R_0805_2012Metric,18k,smt
65.409,-123.693,180.0,top,R12,,,R_0805_2012Metric,47k,smt
102.55,-76.74,0.0,top,R13,,,R_0805_2012Metric,100k,smt
73.5125,-76.775,0.0,top,R14,,,R_0805_2012Metric,100k,smt
65.79,-118.5095,90.0,top,R15,,,R_0805_2012Metric,1k,smt
99.16,-80.98,180.0,top,R16,,,R_0805_2012Metric,330k,smt
70.18,-80.95,180.0,top,R17,,,R_0805_2012Metric,330k,smt
103.395,-64.875,180.0,top,R2,,,R_0805_2012Metric,1k,smt
64.995,-65.1825,0.0,top,R3,,,R_0805_2012Metric,1k,smt
103.395,-62.7225,180.0,top,R4,,,R_0805_2012Metric,10k,smt
64.995,-67.41,0.0,top,R5,,,R_0805_2012Metric,10k,smt
103.395,-67.2225,180.0,top,R6,,,R_0805_2012Metric,1k,smt
64.995,-62.91,0.0,top,R7,,,R_0805_2012Metric,1k,smt
83.3575,-119.8525,0.0,top,R8,,,R_0805_2012Metric,1k,smt
68.584,-119.883,0.0,top,R9,,,R_0805_2012Metric,1k,smt
144.66,-107.585,-90.0,top,SW1,,,SW_SPST_B3U-1000P_larger_pads,RST,smt
83.6275,-122.8625,-90.0,top,U2,,,SOT-23-6,MT3608,smt
68.905,-122.9065,-90.0,top,U3,,,SOT-23-6,MT3608,smt
